,GeoFips,GeoName,2020
0,0,United States,18384687.0
1,1000,Alabama,196906.1
2,2000,Alaska,50161.0
3,4000,Arizona,320550.6
4,5000,Arkansas,114943.5
5,6000,California,2663665.9
6,8000,Colorado,346011.3
7,9000,Connecticut,235888.6
8,10000,Delaware,62056.2
9,11000,District of Columbia,122342.1
10,12000,Florida,944000.8
11,13000,Georgia,536693.0
12,15000,Hawaii,70625.2
13,16000,Idaho,73655.4
14,17000,Illinois,737643.6
15,18000,Indiana,329863.3
16,19000,Iowa,169420.3
17,20000,Kansas,156770.1
18,21000,Kentucky,185535.1
19,22000,Louisiana,222296.8
20,23000,Maine,58757.3
21,24000,Maryland,353052.5
22,25000,Massachusetts,498577.0
23,26000,Michigan,445682.6
24,27000,Minnesota,326635.6
25,28000,Mississippi,99667.5
26,29000,Missouri,282654.2
27,30000,Montana,46158.1
28,31000,Nebraska,117664.9
29,32000,Nevada,145219.1
30,33000,New Hampshire,75543.1
31,34000,New Jersey,535794.9
32,35000,New Mexico,92696.5
33,36000,New York,1420141.0
34,37000,North Carolina,499517.5
35,38000,North Dakota,54581.1
36,39000,Ohio,589897.7
37,40000,Oklahoma,190893.8
38,41000,Oregon,212849.7
39,42000,Pennsylvania,683773.9
40,44000,Rhode Island,51415.1
41,45000,South Carolina,208480.5
42,46000,South Dakota,46682.7
43,47000,Tennessee,316325.3
44,48000,Texas,1734321.1
45,49000,Utah,171370.1
46,50000,Vermont,28648.5
47,51000,Virginia,473817.5
48,53000,Washington,532861.9
49,54000,West Virginia,69711.6
50,55000,Wisconsin,291715.8
51,56000,Wyoming,36256.7
52,91000,New England,948806.2
53,92000,Mideast,3177941.7
54,93000,Great Lakes,2394639.2
55,94000,Plains,1154563.6
56,95000,Southeast,3870598.5
57,96000,Southwest,2340500.9
58,97000,Rocky Mountain,674672.5
59,98000,Far West,3675675.2
