GeoFips,GeoName,2020
0,United States,19607447
1000,Alabama,228748.8
2000,Alaska *,46430.3
4000,Arizona,368458.6
5000,Arkansas,143147.9
6000,California,2763312
8000,Colorado,370392.1
9000,Connecticut,279612.4
10000,Delaware,55357.4
11000,District of Columbia,61706.1
12000,Florida,1209995.9
13000,Georgia,554566.5
15000,Hawaii *,82527.3
16000,Idaho,89077.7
17000,Illinois,792135.5
18000,Indiana,350759.5
19000,Iowa,169181.6
20000,Kansas,163462.2
21000,Kentucky,211947.6
22000,Louisiana,236327.2
23000,Maine,73192.8
24000,Maryland,404520.7
25000,Massachusetts,540855.3
26000,Michigan,530808.6
27000,Minnesota,350784.7
28000,Mississippi,124988.2
29000,Missouri,318019.1
30000,Montana,57660.2
31000,Nebraska,111545
32000,Nevada,168587.3
33000,New Hampshire,91673.1
34000,New Jersey,652498.9
35000,New Mexico,97603.5
36000,New York,1440049.5
37000,North Carolina,533269.3
38000,North Dakota,47089.3
39000,Ohio,627231.3
40000,Oklahoma,198552.1
41000,Oregon,238847.1
42000,Pennsylvania,788725.2
44000,Rhode Island,64299.9
45000,South Carolina,250573.6
46000,South Dakota,52920.7
47000,Tennessee,351546.3
48000,Texas,1618635.1
49000,Utah,169656.3
50000,Vermont,36894.2
51000,Virginia,532256.2
53000,Washington,516441.1
54000,West Virginia,80304.1
55000,Wisconsin,324252
56000,Wyoming,36019.8
91000,New England,1086527.7
92000,Mideast,3402857.8
93000,Great Lakes,2625186.9
94000,Plains,1213002.7
95000,Southeast,4457671.5
96000,Southwest,2283249.3
97000,Rocky Mountain,722806.1
98000,Far West,3816145
